"Name"	"Champion"	"Kind"	"Effect Text"
"Death's Caress"	"Sion"	""	"(Active): Sion surrounds himself with a shield which absorbs damage for up to 10 seconds. After 4 seconds, if the shield has not been destroyed, the ability can be cast again to explode and deal magic damage to surrounding enemies. It will explode automatically after the 10 seconds have passed.
Cast again after 4 seconds to manually detonate.

Cooldown: 8 seconds after shield expires
Explosion area: 550


Cost: 70 / 80 / 90 / 100 / 110 mana
Shield Strength/Magic Damage: 100 / 150 / 200 / 250 / 300 (+0.9 per ability power)"
"Enrage"	"Sion"	""	"(Toggle): While active, each of Sion's autoattacks will deal extra physical damage at the cost of some health. Additionally he permanently increases his maximum health whenever he kills a unit, from either his attacks or abilities.
Cost: 6 / 8 / 10 / 12 / 14 health per attack
Extra Physical Damage: 25 / 35 / 45 / 55 / 65
Health Gained: 1 / 1.5 / 2 / 2.5 / 3 per kill"
"Cannibalism"	"Sion"	""	"(Active): Grants Sion lifesteal and 50% attack speed for 20 seconds. Additionally, Sion's autoattacks will heal surrounding allies for a percentage of the damage dealt.
Cost: 100 mana
Cooldown: 90 seconds
Area of effect: 200


Life Steal: 50 / 75 / 100 %
Heal: 25 / 37.5 / 50 %"
"Energize"	"Skarner"	"Champion Passive"	"(Innate): Using autoattacks against champions lowers the cooldowns of Skarner's abilities by 1 second and by 0.5 seconds when used against non-champion units. Autoattacks on towers won't reduce cooldowns at all."
"Crystal Slash"	"Skarner"	""	"(Active): Skarner lashes out, dealing physical damage to all enemies in a small area around him. He charges himself with Crystal Energy for 5 seconds if a unit is struck.
If he casts Crystal Slash again while empowered by Crystal Energy, the ability deals bonus magic damage and slows all targets hit for 2 seconds.

Cooldown: 3.5 seconds
Radius of AoE: 350


Cost: 20 / 22 / 24 / 26 / 28 mana
Physical Damage: 25 / 40 / 55 / 70 / 85 (+0.8 per bonus attack damage)
Magic Damage: 24 / 36 / 48 / 60 / 72 (+0.4 per ability power)
Slow: 20 / 25 / 30 / 35 / 40 %"
"Crystalline Exoskeleton"	"Skarner"	""	"(Active): Skarner receives a shield for up to 6 seconds. While the shield is still active his movement speed and attack speed are boosted.
Cost: 60 mana
Cooldown: 14 seconds


Shield Strength: 70 / 115 / 160 / 205 / 250 (+0.6 per ability power)
Attack Speed Boost: 30 / 35 / 40 / 45 / 50 %
Movement Speed Boost: 15 / 17 / 19 / 21 / 23 %"
"Fracture"	"Skarner"	""	"(Active): Skarner summons a blast of crystalline energy in a line which deals magic damage to enemies struck and marks them for 6 seconds. If any marked targets receive further damage from Skarner, or if they die when struck by Fracture, Skarner will consume the mark to heal himself. Subsequent marks consumed and unit kills will heal for 50% of the last.
Cooldown: 10 seconds
Range: 600
Missile Speed: 1800


Cost: 50 / 55 / 60 / 65 / 70 mana
Magic Damage: 80 / 120 / 160 / 200 / 240 (+0.7 per ability power)
Heal: 30 / 45 / 60 / 75 / 90 (+0.3 per ability power)"
"Impale"	"Skarner"	""	"(Active): Skarner suppresses an enemy champion for 1.75 seconds and deals magic damage to it. During this time, Skarner can move freely and will drag his victim around with him. When the effect ends, Skarner's target will be dealt the same amount of magic damage again.
Range 350


Cooldown: 130 / 120 / 110 seconds
Cost: 100 / 125 / 150 mana
Magic Damage: 100 / 150 / 200 (+0.5 per ability power)"
"Fleet of Foot"	"Sivir"	"Champion Passive"	"(Innate): Sivir gains 50 movement speed for 2 seconds when she lands a basic attack on an enemy champion."
"Boomerang Blade"	"Sivir"	""	"(Active): Sivir hurls her crossblade like a boomerang, dealing physical  damage to the first unit and 20% reduced damage to each subsequent target.
Cooldown: 9 seconds
Range: 1000


Cost: 70 / 80 / 90 / 100 / 110 mana
Physical Damage: 70 / 115 / 160 / 205 / 250 (+1.1 per bonus attack damage) (+0.5 per ability power)"
"Ricochet"	"Sivir"	""	"(Active): Sivir’s next autoattack deals additional physical damage and bounces to 5 additional targets, dealing 20% less damage with each bounce. Only the first hit procs item effects.
Cost: 40 mana 
Bounce range: 450


Cooldown: 7 / 6 / 5 / 4 / 3 seconds
Additional Physical Damage: 20 / 35 / 50 / 65 / 80"
"Spell Shield"	"Sivir"	""	"(Active): Creates a magical barrier which blocks a single enemy ability used on Sivir. Lasts up to 3 seconds. If an ability is blocked by the shield, Sivir regains 150 mana.
Cost: 75 mana


Cooldown: 22 / 19 / 16 / 13 / 10 seconds"
"On The Hunt"	"Sivir"	""	"(Active): Grants Sivir a boost of 25% movement speed for 15 seconds. In addition, for the next 15 seconds, Sivir receives bonus attack speed, and an aura that gives nearby allies half the attack speed bonus and the full movement speed bonus.
Cost: 100 mana
Range: 1000


Self Attack Speed Bonus: 30 / 45 / 60 %
Ally Attack Speed Bonus: 15 / 22.5 / 30 %
Cooldown: 100 / 90 / 80 seconds"
"Consecration"	"Soraka"	"Champion Passive"	"(Innate): Increases surrounding allies' magic resistance by 16.
Radius: 1,000"
"Starcall"	"Soraka"	""	"(Active): Soraka summons a shower of stars to fall from the sky, striking all nearby enemy units for magic damage and reducing their magic resistance for 8 seconds. This effect stacks up to 10 times.
Cooldown: 2.5 seconds
Radius of AoE: 530


Cost: 35 / 40 / 45 / 50 / 55 mana
Magic Damage: 60 / 85 / 110 / 135 / 160 (+0.4 per ability power)
Magic Reduction: 8 / 9 / 10 / 11 / 12 per stack"
"Astral Blessing"	"Soraka"	""	"(Active): Soraka blesses a friendly unit, restoring health and granting bonus armor for 5 seconds.
Cooldown: 20 seconds
Range: 750


Cost: 90 / 110 / 130 / 150 / 170 mana
Heal: 70 / 140 / 210 / 280 / 350 (+0.45 per ability power)
Bonus Armor: 25 / 50 / 75 / 100 / 125"
"Infuse"	"Soraka"	""	"(Active): On ally cast: Restores mana to the target and an equal amount to Soraka.
On enemy cast: Silences the target and deals magic damage.

No cost
Cooldown: 10 seconds
Range: 725


Mana Restored: 25 / 50 / 75 / 100 / 125
Magic Damage: 50 / 100 / 150 / 200 / 250 (+0.75 per ability power)
Silence Duration: 1.5 / 1.75 / 2 / 2.25 / 2.5 second(s)"
"Wish"	"Soraka"	""	"(Active): Soraka fills her allies with hope, instantly restoring health to all allied champions regardless of where they are.
Cost: 100 / 175 / 250 mana
Cooldown: 120 / 110 / 100 seconds
Heal: 200 / 320 / 440 (+0.7 per ability power)"
"Backstab"	"Shaco"	"Champion Passive"	"(Innate): Shaco deals 20% bonus damage when striking a unit from behind with his autoattacks or abilities."
"Deceive"	"Shaco"	""	"(Active): Shaco instantly blinks to a target nearby location and enters stealth for up to 3.5 seconds. His next autoattack while stealthed will critically strike dealing bonus damage and will end his stealth. This is a special critical strike and will replace the bonus damage from a normal critical strike.
Cooldown:  11 seconds after stealth fades
Range: 500


Cost: 90 / 80 / 70 / 60 / 50 mana
Bonus Damage: 40 / 60 / 80 / 120 / 140 % of attack damage."
"Jack In The Box"	"Shaco"	""	"(Active): Shaco creates a Jack in the Box at the target location with 150 health. It will stealth after 2 seconds and trigger when an enemy comes near, fearing nearby enemies for a few seconds and attacking them. It deals magic damage, and lasts 60 seconds stealthed or 5 seconds while firing. Casting Jack In The Box breaks stealth.
Cooldown: 16 seconds
Range: 425
Trigger Range: 300
Sight Range: 700 (estimate)
Jack in the Box attack speed: 1.6(Attack 9 times in 5 seconds.)
Jack in the Box armor: 50
Jack in the Box magic resist: 100


Cost: 50 / 55 / 60 / 65 / 70 mana
Fear Duration: 0.5 / 0.75 / 1 / 1.25 / 1.5 seconds
Magic Damage: 35 / 50 / 65 / 80 / 95 (+0.2 per ability power)"
"Two-Shiv Poison"	"Shaco"	""	"(Passive): Shaco's attacks poison his targets, reducing their movement speed for 2 seconds. It also gives affected minions a chance to miss their attacks.
Slow: 20 / 22.5 / 25 / 27.5 / 30 %
Miss Chance to Minions: 20 / 22.5 / 25 / 27.5 / 30 %"
"Hallucinate"	"Shaco"	""	"(Active): Shaco stealths for half a second and creates a clone of himself next to him that will last for up 18 seconds. The clone deals 75% of Shaco's damage and receives 50% extra damage. This clone deals 50% damage to towers and inhibitors. At the end of its duration or when dying the clone will explode dealing magic damage to nearby enemies.
Cost: 100 mana
Leash radius: 1125
AoE radius: 250


Cooldown: 100 / 90 / 80 seconds
Magic Damage: 300 / 450 / 600 (+1.0 per ability power)"
"Double Strike"	"Master Yi"	"Champion Passive"	"(Innate): Master Yi strikes twice every 7th attack."
"Alpha Strike"	"Master Yi"	""	"(Active): Master Yi leaps across the battlefield striking up to 4 enemies, dealing magic damage to each enemy with a chance to deal 400 bonus magic damage to minions.
Range to first target: 600


Cost: 60 / 70 / 80 / 90 / 100 mana
Cooldown: 18 / 16 / 14 / 12 / 10 seconds
Magic Damage: 100 / 150 / 200 / 250 / 300 (+1.0 per ability power)
Bonus Damage Chance: 20 / 30 / 40 / 50 / 60 %"
"Meditate"	"Master Yi"	""	"(Active): Master Yi channels, restoring health over 5 seconds. While channeling, Master Yi gains armor and magic resistance.
Cooldown: 35 seconds


Cost: 70 / 85 / 100 / 115 / 130 mana
Heal Per Second: 28 / 56 / 84 / 112 / 140 (+0.33 per ability power)
Maximum Heal: 140 / 280 / 420 / 560 / 700 (+1.65 per ability power) 
Armor &amp; Magic Resistance: 100 / 150 / 200 / 250 / 300"
"Wuju Style"	"Master Yi"	""	"(Passive): Increases attack damage for as long as Wuju Style is not on cooldown.
(Active): Master Yi can activate this ability to receive bonus attack damage equal to double the passive bonus for 10 seconds.

Cost: 40 mana
Cooldown: 25 seconds


Bonus Attack Damage: 15 / 20 / 25 / 30 / 35"
"Highlander"	"Master Yi"	""	"(Active): Increases Master Yi's movement speed by 40% and attack speed for a few seconds, as well as making him immune to any slow effects for the duration. Additionally, killing a champion during the duration will refresh all of Master Yi's ability cooldowns, while assists will refresh them by half.
Cost: 100 mana
Cooldown: 75 seconds


Attack Speed: 40 / 60 / 80 %
Duration: 6 / 9 / 12 seconds"
"Gemcraft"	"Taric"	"Champion Passive"	"(Innate): Taric's autoattacks replenish his mana for 7.5% of the damage dealt."
"Imbue"	"Taric"	""	"(Active): Taric channels earthen energy to heal his target ally. As the magic flows through them he is healed for the same amount. If Taric heals only himself, the heal will be 40% more effective. His autoattacks on champions decrease this spell's cooldown by 3 seconds each or by 1 second if hitting non-champions.
Range: 750


Cost: 80 / 95 / 110 / 125 / 140 mana
Cooldown: 20 / 19 / 18 / 17 / 16 seconds
Heal: 60 / 100 / 140 / 180 / 220 (+0.6 per ability power)
Self Heal: 84 / 140 / 196 / 252 / 308 (+0.84 per ability power)"
"Shatter"	"Taric"	""	"(Passive Aura): Taric hardens crystals around him, providing a permanent armor bonus to himself and nearby allies.
Aura Radius: 1000

(Passive): Taric is granted double the armor bonus.


Bonus Armor: 10 / 15 / 20 / 25 / 30"
"Dazzle"	"Taric"	""	"(Active): Taric emits a brilliant ball of prismatic light at a target enemy, dealing magic damage (lower damage the farther the target is), and stunning them for 1.5 seconds.
Cost: 95 mana
Range: 625
Missile Speed: 1400


Cooldown: 14 / 13 / 12 / 11 / 10 seconds
Minimum Magic Damage: 40 / 70 / 100 / 130 / 160 (+0.4 per ability power)
Maximum Magic Damage: 80 / 140 / 200 / 260 / 320 (+0.8 per ability power)"
"Radiance"	"Taric"	""	"(Active): Taric slams the ground dealing magic damage to nearby enemies. For the next 10 seconds, Taric gains attack damage and ability power and receives an aura that grants nearby allied champions half the bonuses.
Cost: 100 mana
Cooldown: 60 seconds
Radius: 400
Aura Radius: 1000


Magic Damage: 150 / 250 / 350 (+0.7 per ability power)
Attack Damage and Ability Power Self Bonus: 30 / 50 / 70"
"Camouflage"	"Teemo"	"Champion Passive"	"(Innate): If Teemo stands still and takes no action for 2 seconds, he becomes stealthed. Moving or taking actions will break Teemo out of stealth and will boost his attack speed by 40% for 3 seconds."
"Blinding Dart"	"Teemo"	""	"(Active): Teemo shoots a venom-coated dart at the target enemy, dealing magic damage and blinding them for a few seconds, causing all their autoattacks to miss for its duration.
Cooldown: 8 seconds
Range: 680


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 80 / 125 / 170 / 215 / 260 (+0.8 per ability power)
Blind Duration: 1.5 / 1.75 / 2 / 2.25 / 2.5 seconds"
"Move Quick"	"Teemo"	""	"(Passive): Grants increased movement speed until struck by a champion or turret. This bonus is restored 5 seconds after last being struck by a champion or turret.
(Active): For 3 seconds, Teemo gains double his passive movement speed and will not lose it regardless of whether he is hit or not. The passive is restored after the duration of the active. 

Cost: 40 mana
Cooldown: 22 seconds


Passive Movement Speed: 10 / 14 / 18 / 22 / 26 %"
"Toxic Shot"	"Teemo"	""	"(Passive): Teemo deals extra magic damage with his autoattacks. Additionally, his attacks will poison the target, dealing magic damage each second for 4 seconds. This poison will not stack but the duration will be refreshed with every subsequent attack.
Magic Damage on Hit: 9 / 18 / 27 / 36 / 45 (+0.14 per ability power)
Magic Damage per Second: 6 / 12 / 18 / 24 / 30 (+0.14 per ability power)
Total Magic Damage: 33 / 66 / 99 / 132 / 165 (+0.7 per ability power)"
"Noxious Trap"	"Teemo"	""	"(Active): Teemo places a trap which stealths and arms after 1.5 seconds. It detonates if an enemy steps on it, poisoning all enemies nearby to be dealt magic damage every second for 4 seconds plus slowing them and providing vision of them (doesn't reveal stealthed units) for 4 seconds. This poison will not stack but the duration will be refreshed with every subsequent detonation. Mushrooms have 100 health and can be destroyed by autoattacks if they are visible, but they are immune to spell damage.
The traps last 10 minutes. Teemo will store one every several seconds, the charge time will be affected by cooldown reduction, and can have a maximum of three stocked up. Each cast requires and uses a trap. 

Range: 230
Cooldown: 1 second
Activation Radius: 120 (estimate)
Explosion Radius: 400 (estimate)
Sight Radius: 425 (estimate)


Cost: 75 / 100 / 125 mana
Magic Damage Per Second: 50 / 100 / 150 (+0.2 per ability power)
Total Magic Damage: 200 / 400 / 600 (+0.8 per ability power)
Charge Receive Time: 35 / 31 / 27 seconds
Slow: 30 / 40 / 50 %"
"Decompose"	"Trundle"	"Champion Passive"	"(Innate): Whenever an enemy unit near Trundle dies, he heals for 2 /  3 /  4 /  5 /  6% of their maximum health.
Range: 1000 (estimate)"
"Rabid Bite"	"Trundle"	""	"(Active): Trundle enhances his next standard attack to instead bite his opponent, dealing physical damage equal to a base amount plus a percentage of his attack damage.
This attack increases Trundle's attack damage for 8 seconds, with his opponent losing half of this amount for the same duration. 

Cost: 40 mana
Cooldown: 4 seconds


Base Damage: 30 / 45 / 60 / 75 / 90
Scaling: 80 / 90 / 100 / 110 / 120% of attack damage
Attack Damage Bonus: 20 / 25 / 30 / 35 / 40"
"Contaminate"	"Trundle"	""	"(Active): Trundle infects a target location with his curse for 8 seconds, gaining attack speed, movement speed, and crowd control reduction while standing on it.
Cost: 60 mana
Cooldown: 15 seconds
Range to Center of AoE: 900
Radius of AoE: 1000 (estimate)


Movement Speed: 20 / 25 / 30 / 35 / 40 %
Attack Speed: 20 / 30 / 40 / 50 / 60 %
Crowd Control Reduction: 20 / 25 / 30 / 35 / 40 %"
"Pillar of Filth"	"Trundle"	""	"(Active): Trundle creates a plagued beacon at a target location for 6.5 seconds, which becomes impassable terrain and slows all nearby enemy units while they are in the vicinity of it and for 1.25 seconds after they leave the area.
Cost: 60 mana
Range: 1000
Pillar Radius: 125
Slow Radius: 375 (estimate)
Sight Radius: 1200 (estimate)


Cooldown: 23 / 20 / 17 / 14 / 11 seconds
Slow: 25 / 30 / 35 / 40 / 45 %"
"Agony"	"Trundle"	""	"(Active): Trundle immediately steals health (by dealing magic damage) and a percentage of their armor and magic resistance from his target. Over the next 6 seconds the amount of health, armor, and magic resistance stolen is doubled.
Cost: 75 mana
Range: 700


Cooldown: 80 / 70 / 60 seconds
Initial Health Stolen: 100 / 175 / 250 (+0.6 per ability power)
Initial Armor &amp; Magic Resist Stolen: 15 / 20 / 25 %"
"Battle Fury"	"Tryndamere"	"Champion Passive"	"(Innate): Tryndamere receives 0.35% critical strike chance per Fury."
"Bloodlust"	"Tryndamere"	""	"(Passive): Permanently grants attack damage. Additionally, it grants bonus attack damage per 1% of health he is missing.
Base Attack Damage: 5 / 10 / 15 / 20 / 25
Extra Attack Damage: 0.15 / 0.2 / 0.25 / 0.3 / 0.35 per 1% of health missing"
"Mocking Shout"	"Tryndamere"	""	"(Active): Decreases surrounding enemy champions' attack damage, and enemies with their backs turned also have their movement speed reduced for 4 seconds.
No cost
Cooldown: 14 seconds
Radius: 400


Attack Damage Reduction: 20 / 35 / 50 / 65 / 80
Slow: 30 / 37.5 / 45 / 52.5 / 60 %"
"Spinning Slash"	"Tryndamere"	""	"(Active): Tryndamere spins through his enemies, dealing physical damage to enemies in his path. The cooldown is reduced by 2 seconds whenever Tryndamere critically strikes.
No cost
Range: 660
Spin radius: 225


Cooldown: 13 / 12 / 11 / 10 / 9 seconds
Physical Damage: 70 / 100 / 130 / 160 / 190 (+1.0 per ability power) (+1.2 per bonus attack damage)"
"Undying Rage"	"Tryndamere"	""	"(Active): Tryndamere instantly receives fury and becomes immune to death for 5 seconds during which his health cannot go below 1 health. This move is usable even when stunned, silenced or suppressed.
No cost


Cooldown: 110 / 100 / 90 seconds
Fury Gained: 50 / 75 / 100 Fury"
"Loaded Dice"	"Twisted Fate"	"Champion Passive"	"(Innate): Twisted Fate and his allies receive an additional 2 gold per unit kill. This bonus is lost while Twisted Fate is dead."
"Wild Cards"	"Twisted Fate"	""	"(Active): Twisted Fate fires 3 cards forward in a cone, passing through targets and dealing magic damage to enemy units in their way.
Cooldown: 6 seconds
Range: 1,450


Cost: 60 / 70 / 80 / 90 / 100 mana
Magic Damage: 60 / 110 / 160 / 210 / 260 (+0.65 per ability power)"
"Pick a Card"	"Twisted Fate"	""	"(Active): Cards flash over Twisted Fate's head in the following order: blue, then red, then gold, then blue again, starting randomly with any of the three and then continuing this pattern. When he uses the ability again, he picks the current card over his head, and the card picked gives a special effect to his next attack. This attack cannot miss or be dodged.
Cooldown: 6 seconds after card is thrown
Range: Equal to a 625 range spell.


Cost: 40 / 55 / 70 / 85 / 100 mana"
"Stacked Deck"	"Twisted Fate"	""	"(Passive): Twisted Fate gains bonus attack speed and cooldown reduction. In addition, every fourth autoattack will deal bonus magic damage.
Bonus Magic Damage: 55 / 80 / 105 / 130 / 155 (+0.4 per ability power)
Bonus Attack Speed: 3 / 6 / 9 / 12 / 15 %
Cooldown Reduction: 3 / 6 / 9 / 12 / 15 %"
"Destiny"	"Twisted Fate"	""	"(Active): Twisted Fate reveals all enemy champions, including stealthed champions, for a few seconds. While Destiny is active, Twisted Fate can use Gate once.
Cost: 150 / 125 / 100 mana
Cooldown: 150 / 135 / 120 seconds
Duration: 6 / 8 / 10 seconds"
"Deadly Venom"	"Twitch"	"Champion Passive"	"(Innate): Twitch's attacks infect the target with Deadly Venom, which deals 2.5 /  5 /  7.5 /  10 true damage each second, stacking up to 6 times, and lasting up to 6 seconds."
"Ambush"	"Twitch"	""	"(Active): After 1.25 seconds, Twitch becomes stealthed. If Twitch attacks or casts a spell while stealthed, he loses stealth but gains bonus attack speed. This attack speed bonus has duration equal to double the amount of time Twitch was stealthed before attacking, to a maximum duration of 10 seconds.
Cost: 60 mana
Cooldown: 11 seconds


Maximum Duration: 10 / 20 / 30 / 40 / 50 seconds
Attack Speed: 30 / 40 / 50 / 60 / 70 %"
"Debilitating Poison"	"Twitch"	""	"(Active): Slows nearby enemy champion by 30%, plus 6% per stack of Deadly Venom applied to them.
Cost: 80 mana
Cooldown: 10 seconds
Radius: 1,200


Duration: 2 / 2.6 / 3.2 / 3.8 / 4.4 seconds"
"Expunge"	"Twitch"	""	"(Active): Deals magic damage to each nearby poisoned enemy, plus additional damage per stack of Deadly Venom applied to them. All stacks of Deadly Venom are removed from the targets.
Cost: 90 mana
Cooldown: 8 seconds
Radius: 1,200


Magic Damage: 30 / 60 / 90 / 120 / 150 (+1.0 per ability power)
Additional Damage: 20 / 30 / 40 / 50 / 60 per stack"
"Spray and Pray"	"Twitch"	""	"(Active): Twitch gains increased damage and his attacks become long range line missiles and splashes for 12 seconds, dealing 100% of his attack damage and poisoning all enemies hit. Will apply on-hit effects and critical strikes.
Cost: 150 mana
Range: 1,200


Cooldown: 105 / 90 / 75 seconds
Maximum Shots: 5 / 6 / 7
Extra Damage: 15 / 25 / 35"
"Monkey's Agility"	"Udyr"	"Champion Passive"	"(Innate): Udyr's attack speed is increased by 10% for 5 seconds each time he switches stances. This effect can stack up to 3 times. Switching stances sets off a 1.0 second global cooldown."
"Tiger Stance"	"Udyr"	""	"(Stance) - Activation: Udyr's next attack will deal magic damage over 2 seconds. In addition, Udyr gains an attack speed buff for 5 seconds. This stacks additively with his persistent attack speed bonus.
Persistent effect: Udyr's attack speed is increased.

Cooldown: 6 seconds.


Cost: 55 / 50 / 45 / 40 / 35 mana
Magic Damage: 30 / 80 / 130 / 180 / 230 (+1.5 per attack damage)
Persistent Attack Speed Bonus: 20 / 25 / 30 / 35 / 40 %
Activation Attack Speed Bonus: 15 / 20 / 25 / 30 / 35 %"
"Turtle Stance"	"Udyr"	""	"(Stance) - Activation: Udyr gains a shield that absorbs damage for 5 seconds or until it has absorbed the full amount of damage.
Persistent effect: Udyr's attacks cannot crit, but they restore a percentage of his damage as health and mana.

Cooldown: 6 seconds


Cost: 55 / 50 / 45 / 40 / 35 mana
Shield Strength: 60 / 100 / 140 / 180 / 220 (+0.5 per ability power)
Damage to Health Restored Ratio: 10 / 12 / 14 / 16 / 18 %
Damage to Mana Restored Ratio: 5 / 6 / 7 / 8 / 9 %"
"Bear Stance"	"Udyr"	""	"(Stance) - Activation: Udyr gains increased movement speed for a few seconds.
Persistent effect: Udyr mauls his enemies with such force that they are stunned for 1 second when they are hit. This effect can only occur once every 6 seconds on the same target.

Cooldown: 6 seconds


Cost: 55 / 50 / 45 / 40 / 35 mana
Movement Speed Bonus: 15 / 18 / 21 / 24 / 27 %
Movement Speed Duration: 2 / 2.5 / 3 / 3.5 / 4 seconds"
"Phoenix Stance"	"Udyr"	""	"(Stance) - Activation: Udyr sends out pulsing waves of fire dealing magic damage each second to nearby enemies for 5 seconds. During this time Udyr's ability power and attack damage are increased.
Persistent effect: Every third attack, Udyr engulfs the enemies in front of him in flames, dealing magic damage.

Cooldown: 6 seconds
Flame range: 
Wave radius:


Cost: 55 / 50 / 45 / 40 / 35 mana
Activation's Magic Damage Per Wave: 15 / 25 / 35 / 45 / 55 (+0.25 per ability power)
Bonus Ability Power: 16 / 24 / 32 / 40 / 48
Bonus Attack Damage: 8 / 12 / 16 / 20 / 24
Magic Damage Per Third Attack: 40 / 80 / 120 / 160 / 200 (+0.25 per ability power)"
"Evolving Technology"	"Viktor"	"Champion Passive"	"(Innate): Viktor starts with an item that takes up one of his item slots, the Hex Core, that provides him with stats and can be upgraded in the store to augment one of his abilities and improve its stats. The Hex Core can only be upgraded once, for 1000 gold, and cannot be sold back to the store.
Hex Core: Grants Viktor 3 ability power per level."
"Power Transfer"	"Viktor"	""	"(Active): Viktor blasts an enemy unit for magic damage, returning 40% of the damage dealt before reduction as a shield for 3 seconds.
Range: 600


Cost: 45 / 50 / 55 / 60 / 65 mana
Cooldown: 9 / 8 / 7 / 6 / 5 seconds 
Magic Damage: 80 / 125 / 170 / 215 / 260 (+0.65 per ability power)
Shield: 32 / 50 / 68 / 86 / 104 (+0.26 per ability power)"
"Gravity Field"	"Viktor"	""	"(Active): Viktor conjures a gravitational imprisonment device in an area near him, slowing all enemies that pass above it. Whilst under its effect, enemies generate stacks every 0.5 seconds; at 3 stacks the target will be stunned for 1.5 seconds.
Cost: 65 mana
Range: 625


Cooldown: 17 / 16 / 15 / 14 / 13 seconds
Slow: 28 / 32 / 36 / 40 / 44 %"
"Death Ray"	"Viktor"	""	"(Active): Viktor uses his robotic arm to fire a chaos beam that sweeps across the field in a chosen path, dealing magic damage to every enemy it hits.
Range: 700


Cost: 70 / 80 / 90 / 100 / 110 mana
Cooldown: 13 / 12 / 11 / 10 / 9 seconds 
Magic Damage: 70 / 115 / 160 / 205 / 250 (+0.7 per ability power)"
"Chaos Storm"	"Viktor"	""	"(Active): Viktor conjures a chaos storm at the target location, dealing magic damage and silencing enemies in the area for 0.5 seconds. As it churns, the storm deals  magic damage every second to nearby enemies for 7 seconds. Activating this ability again while the singularity is active will redirect it. The storm moves faster the closer it is to Viktor.
Range: 700


Cost: 125 / 175 / 225 mana
Cooldown: 120 seconds
Initial Magic Damage: 150 / 250 / 350 (+0.55 per ability power)
Continuous Magic Damage: 40 / 60 / 80 (+0.2 per ability power)
Total Magic Damage: 430 / 670 / 910 (+1.95 per ability power)"
"Chosen of the Storm"	"Volibear"	"Champion Passive"	"(Innate): When Volibear's health drops below 30% of his maximum health, he will heal for 30% of his maximum health over the next 6 seconds. This passive effect has a 120 second cooldown."
"Rolling Thunder"	"Volibear"	""	"(Active): For the next 4 seconds, Volibear will gain 15% movement speed. This bonus increases to 45% movement speed when moving toward a nearby visible enemy champion. Additionally, Volibear's next autoattack during this time will deal bonus physical damage and will fling the target behind him.
Cost: 40 mana
Range: 300


Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Bonus Physical Damage: 30 / 60 / 90 / 120 / 150"
"Frenzy"	"Volibear"	""	"(Passive): Volibear temporarily gains bonus attack speed after an autoattack. This bonus stacks up to 3 times and lasts for 4 seconds.
Passive Attack Speed: 8 / 11 / 14 / 17 / 20 % per stack"
"Majestic Roar"	"Volibear"	""	"(Active): Volibear lets out a powerful roar that deals magic damage and slows nearby enemies for 3 seconds. Minions, monsters and pets are feared for the duration as well.
Cooldown: 11 seconds
Range: 425


Cost: 60 / 65 / 70 / 75 / 80 mana
Magic Damage: 60 / 105 / 150 / 195 / 240 (+0.6 per ability power)
Slow: 30 / 35 / 40 / 45 / 50 %"
"Thunder Claws"	"Volibear"	""	"(Active): For the next 12 seconds, Volibear's autoattacks will blast his targets with lightning that will bounce to up to 3 nearby enemies. Each bolt of lighting will deal magic damage and will only hit each target once.
Cost: 100 mana
Bounce Range: 300


Cooldown: 100 / 90 / 80 seconds
Magic Damage Per Bolt: 75 / 115 / 155 (+0.3 per ability power)"
"Crimson Pact"	"Vladimir"	"Champion Passive"	"(Innate): Every 40 points of bonus health grants Vladimir 1 ability power and every 1 point of ability power grants Vladimir 1.4 bonus health. These bonuses do not stack with themselves."
"Transfusion"	"Vladimir"	""	"(Active): Vladimir drains the lifeforce of his target, dealing magic damage and healing himself.
No cost
Range: 600


Cooldown: 10 / 8.5 / 7 / 5.5 / 4 seconds
Magic Damage: 90 / 125 / 160 / 195 / 230 (+0.6 per ability power)
Health Regained: 15 / 25 / 35 / 45 / 55 (+0.25 per ability power)"
"Sanguine Pool"	"Vladimir"	""	"(Active): Vladimir sinks into a pool of blood becoming untargetable for 2 second and slowing enemies above him by 40% for 1 second. Additionally, he deals magic damage every half second to them and heals himself for 15% of the damage done.
Cost: 20% of current health
Radius of AoE: 300


Cooldown: 26 / 23 / 20 / 17 / 14 seconds
Magic Damage Per Half-Second: 20 / 33.75 / 47.5 / 61.25 / 75 (+3.75% of bonus health)"
"Tides of Blood"	"Vladimir"	""	"(Active): Vladimir unleashes a torrent of blood dealing magic damage to all nearby enemies.Each cast gives him an Empowered stack which increases his healing and regeneration by 8% per stack for 10 seconds. This stacks up to four times. Additionally, his next Tides of Blood deals 25% more base damage and costs 25% more health per stack.
Cooldown: 4.5 seconds
Radius of AoE: 620


Cost: 30 / 40 / 50 / 60 / 70 health
Magic Damage: 60 / 90 / 120 / 150 / 180 (+0.45 per ability power)"
"Hemoplague"	"Vladimir"	""	"(Active): Vladimir infects all enemies in the target area with a virulent plague which increases the damage they take from all sources by 14% for 5 seconds. After these 5 seconds, infected enemies take magic damage.
No cost
Range to center of AoE: 700
Radius of AoE: 350


Cooldown: 150 / 135 / 120 seconds
Magic Damage: 150 / 250 / 350 (+0.7 per ability power)"
